source,target,weight
Anguilla dieffenbachii,Achnanthes inflata,0
Unidentified detritus,Achnanthes lanceolata,0
Terrestrial invertebrates,Achnanthes lanceolata,0
Plant materials,Achnanthes lanceolata,0
Meiofauna,Achnanthes lanceolata,0
Achnanthes inflata,Achnanthes lanceolata,0
Achnanthes lanceolata,Achnanthes lanceolata,0
Achnanthes linearis,Achnanthes lanceolata,0
Achnanthes minutissima,Achnanthes lanceolata,0
Ankitodesmus sp.,Achnanthes lanceolata,0
Batrachospermum,Achnanthes lanceolata,0
Blue-green algae,Achnanthes lanceolata,0
Calothrix,Achnanthes lanceolata,0
Cocconeis placentula,Achnanthes lanceolata,0
Cymbella kappi,Achnanthes lanceolata,0
Cymbella kappii,Achnanthes lanceolata,0
Cymbella mulleri,Achnanthes lanceolata,0
Diatoma heimale,Achnanthes lanceolata,0
Epithemia sorex,Achnanthes lanceolata,0
Eunotia pectinalis,Achnanthes lanceolata,0
Fragilaria vaucheriae,Achnanthes lanceolata,0
Frustulia rhomboides,Achnanthes lanceolata,0
Gomphoneis herculeana,Achnanthes lanceolata,0
Gomphonema accuminatum,Achnanthes lanceolata,0
Gomphonema angustatum,Achnanthes lanceolata,0
Gomphonema intricatum,Achnanthes lanceolata,0
Gomphonema parvulum,Achnanthes lanceolata,0
Gomphonema sp. III,Achnanthes lanceolata,0
Gomphonema sp. unk,Achnanthes lanceolata,0
Gomphonema truncatum,Achnanthes lanceolata,0
Green algae,Achnanthes lanceolata,0
Gyrosigma,Achnanthes lanceolata,0
Melosira varians,Achnanthes lanceolata,0
Navicula avenacea,Achnanthes lanceolata,0
Navicula rhynocephala,Achnanthes lanceolata,0
Nitzschia dissipata,Achnanthes lanceolata,0
Nitzschia dubia,Achnanthes lanceolata,0
Nitzschia linearis,Achnanthes lanceolata,0
Pinnularia spp.,Achnanthes lanceolata,0
Rhoicosphenia curvata,Achnanthes lanceolata,0
Staurostratum,Achnanthes lanceolata,0
Surirella elegans,Achnanthes lanceolata,0
Synedra ulna,Achnanthes lanceolata,0
Tabellaria flocculosa,Achnanthes lanceolata,0
Ulothrix,Achnanthes lanceolata,0
Ameletopsis perscitus,Achnanthes lanceolata,0
Aoteapsyche,Achnanthes lanceolata,0
Austroperla cyrene,Achnanthes lanceolata,0
Austrosimulium,Achnanthes lanceolata,0
Chironomini,Achnanthes lanceolata,0
Coloburiscus,Achnanthes lanceolata,0
Costachorema,Achnanthes lanceolata,0
Cricotopus sp I,Achnanthes lanceolata,0
Cricotopus sp II,Achnanthes lanceolata,0
Cristaperla,Achnanthes lanceolata,0
Deleatidium,Achnanthes lanceolata,0
Eriopterini,Achnanthes lanceolata,0
Eye forward chiron,Achnanthes lanceolata,0
Helicopsyche,Achnanthes lanceolata,0
Hudsonema aliena,Achnanthes lanceolata,0
Hudsonema amabilis,Achnanthes lanceolata,0
Hydora nitida (ad),Achnanthes lanceolata,0
Hydora nitida (l),Achnanthes lanceolata,0
Hydrobiosella stenocerca,Achnanthes lanceolata,0
Hydrobiosis parumbripennis,Achnanthes lanceolata,0
Mischoderus,Achnanthes lanceolata,0
Nannochorista phillpotti,Achnanthes lanceolata,0
Neozephlebia scita,Achnanthes lanceolata,0
Oligo II,Achnanthes lanceolata,0
Oligo Lumbri pink,Achnanthes lanceolata,0
Oligo skinny,Achnanthes lanceolata,0
Paracalliope fluviatalus,Achnanthes lanceolata,0
Paracalliope pale,Achnanthes lanceolata,0
Paralimnophila skuseii,Achnanthes lanceolata,0
Paucispinigera approximata,Achnanthes lanceolata,0
Polypedellum,Achnanthes lanceolata,0
Polypedellum II,Achnanthes lanceolata,0
Polyplectropus,Achnanthes lanceolata,0
Scirtid,Achnanthes lanceolata,0
Sphaerid,Achnanthes lanceolata,0
Stenoperla prasinia,Achnanthes lanceolata,0
Stictocladius,Achnanthes lanceolata,0
Zelandobius,Achnanthes lanceolata,0
Zelandoperla,Achnanthes lanceolata,0
Zelandotipula,Achnanthes lanceolata,0
Anguilla dieffenbachii,Achnanthes lanceolata,0
Unidentified detritus,Achnanthes linearis,0
Terrestrial invertebrates,Achnanthes linearis,0
Plant materials,Achnanthes linearis,0
Meiofauna,Achnanthes linearis,0
Achnanthes inflata,Achnanthes linearis,0
Achnanthes lanceolata,Achnanthes linearis,0
Achnanthes linearis,Achnanthes linearis,0
Achnanthes minutissima,Achnanthes linearis,0
Ankitodesmus sp.,Achnanthes linearis,0
Batrachospermum,Achnanthes linearis,0
Blue-green algae,Achnanthes linearis,0
Calothrix,Achnanthes linearis,0
Cocconeis placentula,Achnanthes linearis,0
Cymbella kappi,Achnanthes linearis,0
Cymbella kappii,Achnanthes linearis,0
Cymbella mulleri,Achnanthes linearis,0
Diatoma heimale,Achnanthes linearis,0
Epithemia sorex,Achnanthes linearis,0
Eunotia pectinalis,Achnanthes linearis,0
Fragilaria vaucheriae,Achnanthes linearis,0
Frustulia rhomboides,Achnanthes linearis,0
Gomphoneis herculeana,Achnanthes linearis,0
Gomphonema accuminatum,Achnanthes linearis,0
Gomphonema angustatum,Achnanthes linearis,0
Gomphonema intricatum,Achnanthes linearis,0
Gomphonema parvulum,Achnanthes linearis,0
Gomphonema sp. III,Achnanthes linearis,0
Gomphonema sp. unk,Achnanthes linearis,0
Gomphonema truncatum,Achnanthes linearis,0
Green algae,Achnanthes linearis,0
Gyrosigma,Achnanthes linearis,0
Melosira varians,Achnanthes linearis,0
Navicula avenacea,Achnanthes linearis,0
Navicula rhynocephala,Achnanthes linearis,0
Nitzschia dissipata,Achnanthes linearis,0
Nitzschia dubia,Achnanthes linearis,0
Nitzschia linearis,Achnanthes linearis,0
Pinnularia spp.,Achnanthes linearis,0
Rhoicosphenia curvata,Achnanthes linearis,0
Staurostratum,Achnanthes linearis,0
Surirella elegans,Achnanthes linearis,0
Synedra ulna,Achnanthes linearis,0
Tabellaria flocculosa,Achnanthes linearis,0
Ulothrix,Achnanthes linearis,0
Ameletopsis perscitus,Achnanthes linearis,0
Aoteapsyche,Achnanthes linearis,0
Austroperla cyrene,Achnanthes linearis,0
Austrosimulium,Achnanthes linearis,0
Chironomini,Achnanthes linearis,0
Coloburiscus,Achnanthes linearis,0
Costachorema,Achnanthes linearis,0
Cricotopus sp I,Achnanthes linearis,0
Cricotopus sp II,Achnanthes linearis,0
Cristaperla,Achnanthes linearis,0
Deleatidium,Achnanthes linearis,0
Eriopterini,Achnanthes linearis,0
Eye forward chiron,Achnanthes linearis,0
Helicopsyche,Achnanthes linearis,0
Hudsonema aliena,Achnanthes linearis,0
Hudsonema amabilis,Achnanthes linearis,0
Hydora nitida (ad),Achnanthes linearis,0
Hydora nitida (l),Achnanthes linearis,0
Hydrobiosella stenocerca,Achnanthes linearis,0
Hydrobiosis parumbripennis,Achnanthes linearis,0
Mischoderus,Achnanthes linearis,0
Nannochorista phillpotti,Achnanthes linearis,0
Neozephlebia scita,Achnanthes linearis,0
Oligo II,Achnanthes linearis,0
Oligo Lumbri pink,Achnanthes linearis,0
Oligo skinny,Achnanthes linearis,0
Paracalliope fluviatalus,Achnanthes linearis,0
Paracalliope pale,Achnanthes linearis,0
Paralimnophila skuseii,Achnanthes linearis,0
Paucispinigera approximata,Achnanthes linearis,0
Polypedellum,Achnanthes linearis,0
Polypedellum II,Achnanthes linearis,0
Polyplectropus,Achnanthes linearis,0
Scirtid,Achnanthes linearis,0
Sphaerid,Achnanthes linearis,0
Stenoperla prasinia,Achnanthes linearis,0
Stictocladius,Achnanthes linearis,0
Zelandobius,Achnanthes linearis,0
Zelandoperla,Achnanthes linearis,0
Zelandotipula,Achnanthes linearis,0
Anguilla dieffenbachii,Achnanthes linearis,0
Unidentified detritus,Achnanthes minutissima,0
Terrestrial invertebrates,Achnanthes minutissima,0
Plant materials,Achnanthes minutissima,0
Meiofauna,Achnanthes minutissima,0
Achnanthes inflata,Achnanthes minutissima,0
Achnanthes lanceolata,Achnanthes minutissima,0
Achnanthes linearis,Achnanthes minutissima,0
Achnanthes minutissima,Achnanthes minutissima,0
Ankitodesmus sp.,Achnanthes minutissima,0
Batrachospermum,Achnanthes minutissima,0
Blue-green algae,Achnanthes minutissima,0
Calothrix,Achnanthes minutissima,0
Cocconeis placentula,Achnanthes minutissima,0
Cymbella kappi,Achnanthes minutissima,0
Cymbella kappii,Achnanthes minutissima,0
Cymbella mulleri,Achnanthes minutissima,0
Diatoma heimale,Achnanthes minutissima,0
Epithemia sorex,Achnanthes minutissima,0
Eunotia pectinalis,Achnanthes minutissima,0
Fragilaria vaucheriae,Achnanthes minutissima,0
Frustulia rhomboides,Achnanthes minutissima,0
Gomphoneis herculeana,Achnanthes minutissima,0
Gomphonema accuminatum,Achnanthes minutissima,0
Gomphonema angustatum,Achnanthes minutissima,0
Gomphonema intricatum,Achnanthes minutissima,0
Gomphonema parvulum,Achnanthes minutissima,0
Gomphonema sp. III,Achnanthes minutissima,0
Gomphonema sp. unk,Achnanthes minutissima,0
Gomphonema truncatum,Achnanthes minutissima,0
Green algae,Achnanthes minutissima,0
Gyrosigma,Achnanthes minutissima,0
Melosira varians,Achnanthes minutissima,0
Navicula avenacea,Achnanthes minutissima,0
Navicula rhynocephala,Achnanthes minutissima,0
Nitzschia dissipata,Achnanthes minutissima,0
Nitzschia dubia,Achnanthes minutissima,0
Nitzschia linearis,Achnanthes minutissima,0
Pinnularia spp.,Achnanthes minutissima,0
Rhoicosphenia curvata,Achnanthes minutissima,0
Staurostratum,Achnanthes minutissima,0
Surirella elegans,Achnanthes minutissima,0
Synedra ulna,Achnanthes minutissima,0
Tabellaria flocculosa,Achnanthes minutissima,0
Ulothrix,Achnanthes minutissima,0
Ameletopsis perscitus,Achnanthes minutissima,0
Aoteapsyche,Achnanthes minutissima,0
Austroperla cyrene,Achnanthes minutissima,0
Austrosimulium,Achnanthes minutissima,0
Chironomini,Achnanthes minutissima,0
Coloburiscus,Achnanthes minutissima,0
Costachorema,Achnanthes minutissima,0
Cricotopus sp I,Achnanthes minutissima,0
Cricotopus sp II,Achnanthes minutissima,0
Cristaperla,Achnanthes minutissima,0
Deleatidium,Achnanthes minutissima,0
Eriopterini,Achnanthes minutissima,0
Eye forward chiron,Achnanthes minutissima,0
Helicopsyche,Achnanthes minutissima,0
Hudsonema aliena,Achnanthes minutissima,0
Hudsonema amabilis,Achnanthes minutissima,0
Hydora nitida (ad),Achnanthes minutissima,0
Hydora nitida (l),Achnanthes minutissima,0
Hydrobiosella stenocerca,Achnanthes minutissima,0
Hydrobiosis parumbripennis,Achnanthes minutissima,0
Mischoderus,Achnanthes minutissima,0
Nannochorista phillpotti,Achnanthes minutissima,0
