source,target,weight
Ptychocheilus oregonensis,Diphyllobothrium,0
Rhinichthys cataractae,Diphyllobothrium,0
Richardsonius balteatus,Diphyllobothrium,0
Salmo gairdneri,Diphyllobothrium,1
Salvelinus malma,Diphyllobothrium,1
Salvelinus namaycush,Diphyllobothrium,8.3
Thymallus arcticus,Diphyllobothrium,2
Host species,Eubothrium,27
Catostomus catostomus,Eubothrium,0
Catostomus commersoni,Eubothrium,0
Catostomus macrocheilus,Eubothrium,0
Coregonus clupeaformis,Eubothrium,0
Cottus cognatus,Eubothrium,0
Lota lota,Eubothrium,0
Mylocheilus caurinus,Eubothrium,0
Oncorhynchus nerka,Eubothrium,7.7
Prosopium coulteri,Eubothrium,0
Prosopium williamsoni,Eubothrium,0.7
Ptychocheilus oregonensis,Eubothrium,0
Rhinichthys cataractae,Eubothrium,0
Richardsonius balteatus,Eubothrium,0
Salmo gairdneri,Eubothrium,3
Salvelinus malma,Eubothrium,39.6
Salvelinus namaycush,Eubothrium,37.5
Thymallus arcticus,Eubothrium,0
Host species,Ligula,28
Catostomus catostomus,Ligula,0
Catostomus commersoni,Ligula,0
Catostomus macrocheilus,Ligula,0
Coregonus clupeaformis,Ligula,0
Cottus cognatus,Ligula,3.4
Lota lota,Ligula,0
Mylocheilus caurinus,Ligula,0
Oncorhynchus nerka,Ligula,0
Prosopium coulteri,Ligula,0
Prosopium williamsoni,Ligula,0
Ptychocheilus oregonensis,Ligula,0
Rhinichthys cataractae,Ligula,0
Richardsonius balteatus,Ligula,15
Salmo gairdneri,Ligula,0
Salvelinus malma,Ligula,0
Salvelinus namaycush,Ligula,0
Thymallus arcticus,Ligula,0
Host species,Hysterothylacium,29
Catostomus catostomus,Hysterothylacium,0
Catostomus commersoni,Hysterothylacium,0
Catostomus macrocheilus,Hysterothylacium,0
Coregonus clupeaformis,Hysterothylacium,0
Cottus cognatus,Hysterothylacium,0
Lota lota,Hysterothylacium,14.3
Mylocheilus caurinus,Hysterothylacium,0
Oncorhynchus nerka,Hysterothylacium,0
Prosopium coulteri,Hysterothylacium,0
Prosopium williamsoni,Hysterothylacium,0
Ptychocheilus oregonensis,Hysterothylacium,0
Rhinichthys cataractae,Hysterothylacium,0
Richardsonius balteatus,Hysterothylacium,0
Salmo gairdneri,Hysterothylacium,0
Salvelinus malma,Hysterothylacium,2
Salvelinus namaycush,Hysterothylacium,0
Thymallus arcticus,Hysterothylacium,0
Host species,Raphidascaris,30
Catostomus catostomus,Raphidascaris,0
Catostomus commersoni,Raphidascaris,0
Catostomus macrocheilus,Raphidascaris,0
Coregonus clupeaformis,Raphidascaris,0
Cottus cognatus,Raphidascaris,0
Lota lota,Raphidascaris,0
Mylocheilus caurinus,Raphidascaris,0
Oncorhynchus nerka,Raphidascaris,0
Prosopium coulteri,Raphidascaris,0
Prosopium williamsoni,Raphidascaris,0
Ptychocheilus oregonensis,Raphidascaris,6.1
Rhinichthys cataractae,Raphidascaris,0
Richardsonius balteatus,Raphidascaris,0
Salmo gairdneri,Raphidascaris,0
Salvelinus malma,Raphidascaris,0
Salvelinus namaycush,Raphidascaris,0
Thymallus arcticus,Raphidascaris,0
Host species,Eustrongylides,31
Catostomus catostomus,Eustrongylides,0
Catostomus commersoni,Eustrongylides,0
Catostomus macrocheilus,Eustrongylides,0
Coregonus clupeaformis,Eustrongylides,0
Cottus cognatus,Eustrongylides,3.4
Lota lota,Eustrongylides,0
Mylocheilus caurinus,Eustrongylides,14.3
Oncorhynchus nerka,Eustrongylides,0
Prosopium coulteri,Eustrongylides,0
Prosopium williamsoni,Eustrongylides,3.9
Ptychocheilus oregonensis,Eustrongylides,0
Rhinichthys cataractae,Eustrongylides,0
Richardsonius balteatus,Eustrongylides,0
Salmo gairdneri,Eustrongylides,0
Salvelinus malma,Eustrongylides,3
Salvelinus namaycush,Eustrongylides,0
Thymallus arcticus,Eustrongylides,0
Host species,Philometroides,32
Catostomus catostomus,Philometroides,2
Catostomus commersoni,Philometroides,4.8
Catostomus macrocheilus,Philometroides,12.2
Coregonus clupeaformis,Philometroides,0
Cottus cognatus,Philometroides,0
Lota lota,Philometroides,0
Mylocheilus caurinus,Philometroides,0
Oncorhynchus nerka,Philometroides,0
Prosopium coulteri,Philometroides,0
Prosopium williamsoni,Philometroides,0
Ptychocheilus oregonensis,Philometroides,0
Rhinichthys cataractae,Philometroides,0
Richardsonius balteatus,Philometroides,0
Salmo gairdneri,Philometroides,0
Salvelinus malma,Philometroides,0
Salvelinus namaycush,Philometroides,0
Thymallus arcticus,Philometroides,0
Host species,Philonema,33
Catostomus catostomus,Philonema,0
Catostomus commersoni,Philonema,0
Catostomus macrocheilus,Philonema,0
Coregonus clupeaformis,Philonema,0
Cottus cognatus,Philonema,0
Lota lota,Philonema,0
Mylocheilus caurinus,Philonema,0
Oncorhynchus nerka,Philonema,0
Prosopium coulteri,Philonema,0
Prosopium williamsoni,Philonema,2.6
Ptychocheilus oregonensis,Philonema,0
Rhinichthys cataractae,Philonema,0
Richardsonius balteatus,Philonema,0
Salmo gairdneri,Philonema,3
Salvelinus malma,Philonema,0
Salvelinus namaycush,Philonema,0
Thymallus arcticus,Philonema,0
Host species,Philonema.1,34
Catostomus catostomus,Philonema.1,0
Catostomus commersoni,Philonema.1,0
Catostomus macrocheilus,Philonema.1,0
Coregonus clupeaformis,Philonema.1,1.2
Cottus cognatus,Philonema.1,0
Lota lota,Philonema.1,0
Mylocheilus caurinus,Philonema.1,0
Oncorhynchus nerka,Philonema.1,1.9
Prosopium coulteri,Philonema.1,0
Prosopium williamsoni,Philonema.1,1.3
Ptychocheilus oregonensis,Philonema.1,0
Rhinichthys cataractae,Philonema.1,0
Richardsonius balteatus,Philonema.1,0
Salmo gairdneri,Philonema.1,3
Salvelinus malma,Philonema.1,4
Salvelinus namaycush,Philonema.1,0
Thymallus arcticus,Philonema.1,1
Host species,Haplonema,35
Catostomus catostomus,Haplonema,0
Catostomus commersoni,Haplonema,0
Catostomus macrocheilus,Haplonema,0
Coregonus clupeaformis,Haplonema,0
Cottus cognatus,Haplonema,0
Lota lota,Haplonema,57.1
Mylocheilus caurinus,Haplonema,0
Oncorhynchus nerka,Haplonema,0
Prosopium coulteri,Haplonema,0
Prosopium williamsoni,Haplonema,0
Ptychocheilus oregonensis,Haplonema,0
Rhinichthys cataractae,Haplonema,0
Richardsonius balteatus,Haplonema,0
Salmo gairdneri,Haplonema,0
Salvelinus malma,Haplonema,2
Salvelinus namaycush,Haplonema,0
Thymallus arcticus,Haplonema,0
Host species,Truttaedacnitis,36
Catostomus catostomus,Truttaedacnitis,0
Catostomus commersoni,Truttaedacnitis,0
Catostomus macrocheilus,Truttaedacnitis,0
Coregonus clupeaformis,Truttaedacnitis,0
Cottus cognatus,Truttaedacnitis,0
