source,target,weight
Lota lota,Metechinorhynchus,100
Pungitius pungitius,Metechinorhynchus,19
Stizostedion vitreum,Metechinorhynchus,66.7
Host species,Pomphorhynchus,34
Coregonus artedii,Pomphorhynchus,2
Coregonus clupeaformis,Pomphorhynchus,1
Salvelinus namaycush,Pomphorhynchus,5.7
Oncorhynchus kisutch,Pomphorhynchus,6.5
Esox lucius,Pomphorhynchus,0
Catostomus catostomus,Pomphorhynchus,0
Catostomus commersoni,Pomphorhynchus,100
Lota lota,Pomphorhynchus,0
Pungitius pungitius,Pomphorhynchus,0.6
Stizostedion vitreum,Pomphorhynchus,0
Host species,Cystobranchus,35
Coregonus artedii,Cystobranchus,0
Coregonus clupeaformis,Cystobranchus,0
Salvelinus namaycush,Cystobranchus,0
Oncorhynchus kisutch,Cystobranchus,0
Esox lucius,Cystobranchus,0
Catostomus catostomus,Cystobranchus,0
Catostomus commersoni,Cystobranchus,0
Lota lota,Cystobranchus,3.4
Pungitius pungitius,Cystobranchus,0
Stizostedion vitreum,Cystobranchus,0
Host species,Ergasilus,36
Coregonus artedii,Ergasilus,25.1
Coregonus clupeaformis,Ergasilus,1.2
Salvelinus namaycush,Ergasilus,5.7
Oncorhynchus kisutch,Ergasilus,17.2
Esox lucius,Ergasilus,0
Catostomus catostomus,Ergasilus,0
Catostomus commersoni,Ergasilus,0
Lota lota,Ergasilus,0
Pungitius pungitius,Ergasilus,13.3
Stizostedion vitreum,Ergasilus,0
Host species,Ergasilus.1,37
Coregonus artedii,Ergasilus.1,35.3
Coregonus clupeaformis,Ergasilus.1,5.1
Salvelinus namaycush,Ergasilus.1,2.9
Oncorhynchus kisutch,Ergasilus.1,38.1
Esox lucius,Ergasilus.1,0
Catostomus catostomus,Ergasilus.1,0
Catostomus commersoni,Ergasilus.1,0
Lota lota,Ergasilus.1,0
Pungitius pungitius,Ergasilus.1,0
Stizostedion vitreum,Ergasilus.1,0
Host species,Ergasilus.2,38
Coregonus artedii,Ergasilus.2,0
Coregonus clupeaformis,Ergasilus.2,0
Salvelinus namaycush,Ergasilus.2,0
Oncorhynchus kisutch,Ergasilus.2,0
Esox lucius,Ergasilus.2,0
Catostomus catostomus,Ergasilus.2,11.1
Catostomus commersoni,Ergasilus.2,11.1
Lota lota,Ergasilus.2,0
Pungitius pungitius,Ergasilus.2,0
Stizostedion vitreum,Ergasilus.2,0
Host species,Salmincola,39
Coregonus artedii,Salmincola,0.1
Coregonus clupeaformis,Salmincola,30.9
Salvelinus namaycush,Salmincola,0
Oncorhynchus kisutch,Salmincola,0
Esox lucius,Salmincola,0
Catostomus catostomus,Salmincola,0
Catostomus commersoni,Salmincola,0
Lota lota,Salmincola,0
Pungitius pungitius,Salmincola,0
Stizostedion vitreum,Salmincola,0
Host species,Salmincola.1,40
Coregonus artedii,Salmincola.1,0
Coregonus clupeaformis,Salmincola.1,26.3
Salvelinus namaycush,Salmincola.1,0
Oncorhynchus kisutch,Salmincola.1,0
Esox lucius,Salmincola.1,0
Catostomus catostomus,Salmincola.1,0
Catostomus commersoni,Salmincola.1,0
Lota lota,Salmincola.1,0
Pungitius pungitius,Salmincola.1,0
Stizostedion vitreum,Salmincola.1,0
